Academic_Year,CAP_Round,Quota_Type,Institute_Code,Institute_Name,Program_Branch,Seat_Category_Code,District,Closing_Merit,Closing_Percentile,Official_Source_URL,Notes
2021-22,1,MH,00000,Illustrative Institute A (replace with real institute from PDF),Computer Science and Engineering,GOPEN,Pune,,92.5,,SAMPLE ROWS ONLY — replace with official CAP-I MH cutoff values from cetcell.mahacet.org PDFs
2022-23,1,MH,00000,Illustrative Institute A (replace with real institute from PDF),Computer Science and Engineering,GOPEN,Pune,,91.8,,SAMPLE
2023-24,1,MH,00000,Illustrative Institute A (replace with real institute from PDF),Computer Science and Engineering,GOPEN,Pune,,91.0,,SAMPLE
2024-25,1,MH,00000,Illustrative Institute A (replace with real institute from PDF),Computer Science and Engineering,GOPEN,Pune,,90.2,,SAMPLE
2025-26,1,MH,00000,Illustrative Institute A (replace with real institute from PDF),Computer Science and Engineering,GOPEN,Pune,,89.5,,SAMPLE
2021-22,1,MH,00001,Illustrative Institute B (replace),Mechanical Engineering,GOPEN,Nagpur,,88.0,,SAMPLE
2022-23,1,MH,00001,Illustrative Institute B (replace),Mechanical Engineering,GOPEN,Nagpur,,87.2,,SAMPLE
2023-24,1,MH,00001,Illustrative Institute B (replace),Mechanical Engineering,GOPEN,Nagpur,,86.5,,SAMPLE
2024-25,1,MH,00001,Illustrative Institute B (replace),Mechanical Engineering,GOPEN,Nagpur,,85.9,,SAMPLE
2025-26,1,MH,00001,Illustrative Institute B (replace),Mechanical Engineering,GOPEN,Nagpur,,85.1,,SAMPLE
